x u v
0 1 0
0.0605191 0.998169 -0.0604822
0.11902 0.992926 -0.118739
0.176293 0.984501 -0.175381
0.232812 0.973021 -0.230715
0.288865 0.958568 -0.284864
0.344628 0.941201 -0.337847
0.400212 0.920979 -0.389613
0.455682 0.897961 -0.440075
0.511083 0.872215 -0.489122
0.56644 0.843817 -0.536632
0.62177 0.812849 -0.582475
0.677083 0.779404 -0.626522
0.732385 0.743582 -0.668645
0.78768 0.705492 -0.708718
0.842971 0.665248 -0.746623
0.89826 0.622972 -0.782244
0.953547 0.578795 -0.815473
1.00883 0.532849 -0.84621
1.06412 0.485276 -0.874361
1.1194 0.43622 -0.89984
1.17469 0.385832 -0.922569
1.22997 0.334265 -0.942479
1.28526 0.281676 -0.95951
1.34054 0.228227 -0.973608
1.39582 0.174081 -0.984731
1.45111 0.119402 -0.992846
1.50639 0.0643591 -0.997927
1.56168 0.0091193 -0.999958
1.61696 -0.0461484 -0.998935
1.67225 -0.101275 -0.994858
1.72753 -0.156092 -0.987742
1.78281 -0.210432 -0.977608
1.8381 -0.26413 -0.964487
1.89338 -0.31702 -0.948419
1.94867 -0.368941 -0.929453
2.00395 -0.419736 -0.907646
2.05923 -0.469247 -0.883067
2.11452 -0.517325 -0.855789
2.1698 -0.563822 -0.825896
2.22509 -0.608597 -0.79348
2.28037 -0.651511 -0.758639
2.33566 -0.692435 -0.72148
2.39094 -0.731244 -0.682116
2.44622 -0.767817 -0.640669
2.50151 -0.802045 -0.597263
2.55679 -0.833822 -0.552033
2.61208 -0.863051 -0.505116
2.66736 -0.889644 -0.456655
2.72264 -0.913517 -0.4068
2.77793 -0.9346 -0.355701
2.83321 -0.952827 -0.303515
2.8885 -0.968142 -0.250402
2.94378 -0.980499 -0.196524
2.99907 -0.98986 -0.142045
3.05435 -0.996197 -0.0871323
3.10963 -0.999489 -0.0319533
3.16492 -0.999728 0.0233233
3.2202 -0.996912 0.0785287
3.27549 -0.99105 0.133494
3.33077 -0.982159 0.188052
3.38606 -0.970268 0.242035
3.44134 -0.955411 0.295278
3.49662 -0.937636 0.347619
3.55191 -0.916995 0.398898
3.60719 -0.893553 0.448958
3.66248 -0.86738 0.497646
3.71776 -0.838557 0.544814
3.77304 -0.807172 0.590317
3.82833 -0.77332 0.634016
3.88361 -0.737105 0.675778
3.9389 -0.698638 0.715475
3.99418 -0.658037 0.752986
4.04947 -0.615424 0.788196
4.10475 -0.570931 0.820998
4.16003 -0.524694 0.851291
4.21532 -0.476853 0.878983
4.2706 -0.427556 0.903989
4.32589 -0.376952 0.926233
4.38117 -0.325196 0.945647
4.43645 -0.272446 0.962171
4.49174 -0.218864 0.975755
4.54702 -0.164614 0.986358
4.60231 -0.10986 0.993947
4.65759 -0.0547706 0.998499
4.71288 0.000486113 1
4.76816 0.0557414 0.998445
4.82344 0.110826 0.99384
4.87873 0.165573 0.986198
4.93401 0.219813 0.975542
4.9893 0.273382 0.961906
5.04458 0.326115 0.94533
5.09986 0.377852 0.925866
5.15515 0.428435 0.903573
5.21043 0.477708 0.878519
5.26572 0.525521 0.85078
5.321 0.571729 0.820442
5.37629 0.61619 0.787597
5.43157 0.658768 0.752346
5.48685 0.699333 0.714796
5.54214 0.737762 0.675061
5.59742 0.773936 0.633264
5.65271 0.807745 0.589532
5.70799 0.839086 0.543998
5.76327 0.867863 0.496803
5.81856 0.893989 0.448089
5.87384 0.917383 0.398006
5.92913 0.937973 0.346707
5.98441 0.955698 0.294349
6.0397 0.970502 0.241091
6.09498 0.982341 0.187097
6.15026 0.991179 0.132531
6.20555 0.996988 0.0775594
6.26083 0.99975 0.0223514
6.28319 1 4.91815e-07
