t theta omega
0 3.04159 0
0.1 3.03911 -0.0497066
0.207168 3.03088 -0.1044
0.310233 3.01724 -0.16117
0.395756 3.00126 -0.213444
0.472129 2.983 -0.265615
0.539473 2.96341 -0.317052
0.599335 2.94294 -0.367919
0.653251 2.92176 -0.41856
0.702433 2.89994 -0.469295
0.750007 2.87636 -0.522991
0.792914 2.8528 -0.575732
0.83438 2.8278 -0.630968
0.874067 2.80164 -0.688105
0.911874 2.77453 -0.746734
0.947836 2.74661 -0.806587
0.982063 2.71797 -0.867505
1.0147 2.68866 -0.929397
1.04589 2.6587 -0.99223
1.0758 2.62808 -1.056
1.10455 2.5968 -1.12073
1.13229 2.56481 -1.18647
1.15912 2.53208 -1.25326
1.18516 2.49857 -1.32118
1.2105 2.46422 -1.39029
1.23524 2.42896 -1.46067
1.25946 2.39272 -1.53242
1.28325 2.35541 -1.60564
1.30667 2.31693 -1.68045
1.3298 2.27718 -1.75697
1.35272 2.23601 -1.83536
1.37551 2.19328 -1.91577
1.39823 2.1488 -1.99842
1.42099 2.10236 -2.0835
1.44387 2.0537 -2.1713
1.46696 2.00251 -2.26209
1.49039 1.94842 -2.35622
1.51428 1.89096 -2.45409
1.53878 1.82959 -2.55612
1.56405 1.76366 -2.66274
1.59024 1.69245 -2.77426
1.61747 1.61532 -2.89063
1.6457 1.53203 -3.01089
1.67457 1.44334 -3.13254
1.70338 1.35139 -3.25137
1.7296 1.26472 -3.35632
1.75339 1.18379 -3.44793
1.77506 1.10822 -3.52771
1.79598 1.03362 -3.60088
1.81481 0.965235 -3.66296
1.833 0.898104 -3.71915
1.85043 0.832832 -3.76919
1.8671 0.76963 -3.81324
1.88305 0.708483 -3.85168
1.89836 0.649258 -3.88493
1.9131 0.591773 -3.91342
1.92735 0.535832 -3.9375
1.94118 0.481249 -3.95751
1.95464 0.427854 -3.97372
1.9678 0.375493 -3.98634
1.98069 0.324033 -3.99557
1.99336 0.273358 -4.00154
2.00585 0.223365 -4.00439
