rmin Ermin rmax Ermax acc Eacc eps Eeps
1.0000000000 -0.1691284404 1.0000000000 2.3709113064 500.0000000000 -0.4449983769 500.0000000000 -0.8672573292
0.5000000000 -0.8598528053 2.0000000000 -0.1260951576 50.0000000000 -0.4449983769 50.0000000000 -0.6386528009
0.2500000000 -0.5288770116 3.0000000000 -0.4281357752 5.0000000000 -0.4456039849 5.0000000000 -0.5247482676
0.1250000000 -0.5035955612 4.0000000000 -0.4839683097 0.5000000000 -0.4918470027 0.5000000000 -0.5026471286
0.0625000000 -0.5004899366 5.0000000000 -0.4965379900 0.0500000000 -0.5023339710 0.0500000000 -0.4999982291
0.0312500000 -0.5000866462 6.0000000000 -0.4992852071 0.0050000000 -0.5028492037 0.0050000000 -0.4999714598
0.0156250000 -0.5000350995 7.0000000000 -0.4998550891 0.0005000000 -0.5033500785 0.0005000000 -0.4999745085
0.0078125000 -0.5000277676 8.0000000000 -0.5000261864 0.0000500000 -0.5026875090 0.0000500000 -0.4999747067
0.0039062500 -0.5000268002 9.0000000000 -0.4999929739 0.0000050000 -0.5028946300 0.0000050000 -0.4999747329
0.0019531250 -0.5000261853 10.0000000000 -0.4999921532 0.0000005000 -0.5032501088 0.0000005000 -0.4999747081
