x, f(x), F(x), df/dx
0, 0, 0, 0.757905
0.1, 0.0766262, 0.00381738, 0.774618
0.2, 0.154924, 0.0153809, 0.791331
0.3, 0.234892, 0.0348578, 0.808045
0.4, 0.316533, 0.0624151, 0.824758
0.5, 0.399844, 0.0982201, 0.841471
0.6, 0.484827, 0.14244, 0.858184
0.7, 0.571481, 0.195241, 0.874897
0.8, 0.659806, 0.256792, 0.89161
0.9, 0.749803, 0.327258, 0.908324
1, 0.841471, 0.406808, 0.925037
1.1, 0.925403, 0.495294, 0.753595
1.2, 0.99219, 0.591317, 0.582153
1.3, 1.04183, 0.693161, 0.410711
1.4, 1.07433, 0.799112, 0.239269
1.5, 1.08969, 0.907456, 0.0678264
1.6, 1.0879, 1.01648, -0.103616
1.7, 1.06896, 1.12446, -0.275058
1.8, 1.03289, 1.2297, -0.4465
1.9, 0.979664, 1.33047, -0.617942
2, 0.909297, 1.42506, -0.789384
2.1, 0.830571, 1.51205, -0.785143
2.2, 0.752269, 1.59119, -0.780901
2.3, 0.674391, 1.66252, -0.77666
2.4, 0.596937, 1.72608, -0.772419
2.5, 0.519907, 1.78192, -0.768177
2.6, 0.443301, 1.83008, -0.763936
2.7, 0.36712, 1.87059, -0.759695
2.8, 0.291362, 1.90351, -0.755453
2.9, 0.216029, 1.92888, -0.751212
3, 0.14112, 1.94673, -0.746971
3.1, 0.0649134, 1.95706, -0.777161
3.2, -0.0143122, 1.95962, -0.807352
3.3, -0.0965569, 1.9541, -0.837542
3.4, -0.181821, 1.9402, -0.867732
3.5, -0.270103, 1.91763, -0.897923
3.6, -0.361405, 1.88608, -0.928113
3.7, -0.455726, 1.84525, -0.958303
3.8, -0.553066, 1.79484, -0.988493
3.9, -0.653425, 1.73454, -1.01868
4, -0.756802, 1.66405, -1.04887
4.1, -0.853222, 1.58341, -0.879524
4.2, -0.932707, 1.49397, -0.710173
4.3, -0.995257, 1.39743, -0.540823
4.4, -1.04087, 1.29549, -0.371472
4.5, -1.06955, 1.18982, -0.202122
4.6, -1.0813, 1.08214, -0.0327713
4.7, -1.07611, 0.974128, 0.136579
4.8, -1.05398, 0.867483, 0.30593
4.9, -1.01492, 0.763897, 0.47528
5, -0.958924, 0.665063, 0.644631
5.1, -0.894112, 0.572406, 0.651606
5.2, -0.828603, 0.486264, 0.658582
5.3, -0.762396, 0.406708, 0.665557
5.4, -0.695492, 0.333808, 0.672533
5.5, -0.627889, 0.267633, 0.679509
5.6, -0.55959, 0.208254, 0.686484
5.7, -0.490593, 0.155739, 0.69346
5.8, -0.420898, 0.110158, 0.700436
5.9, -0.350505, 0.0715823, 0.707411
6, -0.279415, 0.0400804, 0.714387
6.1, -0.205757, 0.0157848, 0.75879
6.2, -0.127657, -0.000922907, 0.803193
6.3, -0.045118, -0.00959869, 0.847596
6.4, 0.0418617, -0.00979851, 0.891999
6.5, 0.133282, -0.00107833, 0.936402
6.6, 0.229142, 0.0170059, 0.980805
6.7, 0.329443, 0.0448981, 1.02521
6.8, 0.434184, 0.0830424, 1.06961
6.9, 0.543365, 0.131883, 1.11401
7, 0.656987, 0.191863, 1.15842
7.1, 0.764568, 0.263079, 0.993208
7.2, 0.855628, 0.344226, 0.827999
7.3, 0.930168, 0.433654, 0.66279
7.4, 0.988186, 0.529709, 0.497581
7.5, 1.02968, 0.63074, 0.332372
7.6, 1.05466, 0.735095, 0.167163
7.7, 1.06312, 0.841122, 0.00195343
7.8, 1.05505, 0.947168, -0.163256
7.9, 1.03047, 1.05158, -0.328465
8, 0.989358, 1.15271, -0.493674
8.1, 0.939155, 1.24915, -0.510387
8.2, 0.887281, 1.34049, -0.5271
8.3, 0.833735, 1.42655, -0.543813
8.4, 0.778518, 1.50718, -0.560527
8.5, 0.72163, 1.5822, -0.57724
8.6, 0.66307, 1.65145, -0.593953
8.7, 0.602839, 1.71476, -0.610666
8.8, 0.540937, 1.77196, -0.627379
8.9, 0.477363, 1.82289, -0.644092
9, 0.412118, 1.86738, -0.660806
